Nr.,Bezeichnung,Hinterlegung
178,"""DAS VOLK REGIERT SELBST"", kurz ""DVRS""",27.02.2006
179,"""DEMIKRATISCHE PARTEI VORARLBERGS"", Kurzbezeichnung ""DPV""",11.02.1983
180,"""DEMO-Austria (Kurzname DEMO)""",08.08.2005
181,"""DEMOKRATEN (D)""",17.03.1992
182,"""Demokratie 92""",17.02.1993
183,"""Demokratie 99""",14.09.1998
184,"""Demokratie Bewegung Österreich"", kurz ""DBÖ""",18.07.2012
185,"""Demokratisch Frei Konstruktiv"", kurz ""DFK""",28.10.2003
186,"""Demokratische Arbeits-Gemeinschaft"" - DAG",30.10.1980
187,"""Demokratische liberal - nationale Aktivgruppe""",09.10.1987
188,"""Demokratische Liberale Partei Österreich - Liberaler Club (D.L.P.)""",13.01.1993
189,"""Demokratische Partei Österreich"", kurz ""DPÖ""",10.11.1983
190,"""DEMOKRATISCHE REFORM-PARTEI ÖSTERREICHS""",26.11.1987
191,"""Demokratische Republikaner"" (Demo-Rep)",17.04.1990
192,"""Demokratische Soziale Union"", Kurzform ""DSU""",02.11.2010
193,"""Demokratische Union""",17.07.1997
194,"""Demokratische-Kärntner-Liste""",01.12.1997
195,"""demontage - Initiative zur Förderung des politikwissenschaftlichen Gegendiskurses""",14.03.1994
196,"""Denk Um"", Nebenbezeichnung ""Wirtschaftsliberale Sozialpartei"", Kurzbezeichnung ""DU""",05.05.2010
197,"""Der Norden"" - (Mühlviertel) Weinviertel (Waldviertel), Abkürzung ""Der Norden"" (M)W(W)",24.11.1988
198,"""Der Perger"" - Club für aktive Freizeitgestaltung",11.07.1991
199,"""DER WANDEL"", Kurzbezeichnung ""WANDL""",07.09.2012
200,"""DEUTSCH-VÖLKISCHE PARTEI""",15.11.1983
201,"""Die aktive liberale Partei Österreichs"", Abkürzung ""A.L.Ö.""",05.07.1995
202,"""Die Alternativen Österreichs (AÖ)""",19.11.1982
203,"""Die Anderen - Libertäres Forum"", Kurzbezeichnung ""Die Anderen"", Abkürzung ""DALF""",23.07.1992
204,"""Die Anderen - Libertäres Forum/Bezirksgruppe Alsergrund"", Abkürzung ""DALF""",25.08.1992
205,"""Die Anderen - Libertäres Forum/Bezirksgruppe Hernals"", Abkürzung ""DALF""",18.09.1992
206,"""Die Anderen - Libertäres Forum/Bezirksgruppe Mariahilf"", Abkürzung ""DALF""",18.09.1992
207,"""Die Anderen - Libertäres Forum/Bezirksgruppe Neubau"", Abkürzung ""DALF""",25.08.1992
208,"""Die Anderen - Libertäres Forum/Bezirksgruppe Ottakring"", Abkürzung ""DALF""",18.09.1992
209,"""Die Anderen - Libertäres Forum/Bezirksgruppe Wieden"", Abkürzung ""DALF""",25.08.1992
210,"""Die Anderen - Libertäres Forum/Regionalgruppe Wien"", Kurzbezeichnung ""Die Anderen"", Abkürzung ""DALF"" ",25.08.1992
211,"""DIE BESTE PARTEI - Die Partei für Frieden, Freiheit, Fröhlichkeit""",30.03.1992
212,"""Die Bewegung""",10.12.1991
213,"""Die Bewegung""",04.10.2002
214,"""Die Bürgerliche Partei Österreichs - BPÖ""",20.08.1999
215,"""Die Bürgerlich-Liberalen""",09.09.2009
216,"""Die Christen""",06.11.2009
217,"""Die ChristenPartei"" (DCP) Oberösterreich",20.01.2010
218,"""Die Ehrenamtlichen""",31.03.2011
219,"""DIE EMSIGEN""",01.06.1994
220,"""Die Freiheitlichen in Kärnten""",15.04.1977
221,"""Die Freisinnigen Österreichs (FÖ)""",30.06.1986
222,"""Die Grauen Österreichs""",02.08.1989
